round,game_no,player_first,player_second,result
18,172,11,18,w
18,173,12,13,w
18,174,1,15,l
18,175,4,14,l
18,176,19,6,w
18,177,7,2,w
18,178,9,17,l
18,179,10,20,l
18,180,16,5,w
19,181,11,5,w
19,182,12,3,l
19,183,14,6,l
19,184,19,18,w
19,185,1,8,w
19,186,4,15,w
19,187,7,13,l
19,188,9,16,w
19,189,20,10,w
19,190,17,2,w
20,191,11,3,w
20,192,12,5,w
20,193,19,1,w
20,194,4,18,l
20,195,14,7,w
20,196,9,15,l
20,197,20,6,w
20,198,16,2,w
20,199,17,8,l
20,200,10,13,l
21,201,11,12,l
21,202,3,18,l
21,203,19,5,w
21,204,14,1,w
21,205,4,20,w
21,206,7,6,w
21,207,9,15,l
21,208,16,8,w
21,209,17,10,w
21,210,13,2,l
22,211,11,12,w
22,212,19,3,l
22,213,14,5,w
22,214,4,1,w
22,215,7,15,l
22,216,16,20,l
22,217,9,17,l
22,218,2,10,l
22,219,13,8,w
22,220,6,18,w
23,221,11,12,l
23,222,3,14,l
23,223,19,4,l
23,224,1,15,l
23,225,20,5,w
23,226,7,16,w
23,227,17,9,w
23,228,10,8,l
23,229,13,2,w
23,230,6,18,l
24,231,11,12,w
24,232,14,3,w
24,233,4,19,l
24,234,15,20,l
24,235,1,7,w
24,236,17,16,w
24,237,9,5,l
24,238,13,10,w
24,239,2,8,l
24,240,6,18,l
25,241,11,12,w
25,242,14,19,l
25,243,3,4,l
25,244,20,1,l
25,245,15,17,w
25,246,7,13,l
25,247,16,9,w
25,248,8,10,w
25,249,2,18,l
25,250,6,5,w
26,251,11,12,w
26,252,14,19,l
26,253,4,3,w
26,254,1,15,w
26,255,20,17,l
26,256,7,13,l
26,257,16,8,w
26,258,9,10,w
26,259,18,2,w
26,260,6,5,l
27,261,11,19,l
27,262,4,12,l
27,263,14,1,w
27,264,3,15,w
27,265,17,20,l
27,266,13,16,w
27,267,7,9,l
27,268,8,18,l
27,269,10,2,l
27,270,6,5,w
28,271,11,19,l
28,272,12,14,w
28,273,4,3,l
28,274,1,20,l
28,275,13,15,w
28,276,17,16,w
28,277,7,9,w
28,278,18,8,l
28,279,2,6,w
28,280,10,5,w
29,281,11,19,l
29,282,12,14,w
29,283,3,4,l
29,284,20,1,w
29,285,13,17,l
29,286,15,7,l
29,287,16,9,l
29,288,8,18,w
29,289,2,10,w
29,290,6,5,w
30,291,19,11,w
30,292,12,4,l
30,293,14,3,l
30,294,20,17,w
30,295,1,13,l
30,296,7,15,l
30,297,9,16,w
30,298,8,2,w
30,299,18,6,w
30,300,10,5,l
31,301,19,11,l
31,302,12,4,l
31,303,3,14,l
31,304,20,13,l
31,305,17,1,w
31,306,15,7,w
31,307,9,8,w
31,308,16,18,l
31,309,2,6,l
31,310,10,5,l
32,311,19,11,l
32,312,4,12,w
32,313,14,3,w
32,314,20,13,w
32,315,17,15,l
32,316,1,9,l
32,317,7,8,w
32,318,16,18,l
32,319,2,6,w
32,320,10,5,l
33,321,11,19,l
33,322,4,12,l
33,323,14,20,l
33,324,3,13,l
33,325,15,17,w
33,326,9,1,l
33,327,7,18,w
33,328,8,16,l
33,329,2,6,l
33,330,10,5,l
34,331,19,11,l
34,332,4,12,w
34,333,14,20,l
34,334,3,13,w
34,335,15,17,l
34,336,1,7,l
34,337,9,16,w
34,338,18,8,l
34,339,2,6,w
34,340,10,5,w
35,341,11,19,l
35,342,4,12,w
35,343,20,14,w
35,344,3,13,w
35,345,15,17,w
35,346,7,9,l
35,347,1,8,l
35,348,16,18,w
35,349,2,6,l
35,350,10,5,w
36,351,19,4,l
36,352,11,20,w
36,353,12,3,l
36,354,14,15,w
36,355,9,13,l
36,356,17,7,w
36,357,1,8,l
36,358,16,18,w
36,359,2,6,w
36,360,10,5,w
37,361,4,11,l
37,362,19,20,w
37,363,3,12,l
37,364,14,13,w
37,365,15,17,w
37,366,9,7,l
37,367,1,8,w
37,368,16,2,l
37,369,18,6,w
37,370,10,5,l
38,371,11,19,l
38,372,4,12,l
38,373,14,20,w
38,374,3,15,l
38,375,13,17,w
38,376,7,9,w
38,377,1,8,l
38,378,16,2,w
38,379,18,6,w
38,380,10,5,l
39,381,19,11,l
39,382,4,12,w
39,383,14,20,w
39,384,3,15,w
39,385,13,7,w
39,386,17,9,w
39,387,1,8,w
39,388,16,18,w
39,389,2,6,l
39,390,10,5,w
40,391,11,19,l
40,392,4,14,l
40,393,12,3,w
40,394,20,13,l
40,395,15,17,w
40,396,7,1,w
40,397,9,16,w
40,398,8,18,w
40,399,2,6,l
40,400,10,5,w
41,401,19,11,w
41,402,4,14,w
41,403,12,3,w
41,404,13,15,l
41,405,20,7,l
41,406,17,9,w
41,407,1,8,w
41,408,16,18,w
41,409,2,6,l
41,410,10,5,w
42,411,19,4,l
42,412,11,12,l
42,413,14,15,l
42,414,3,13,w
42,415,20,7,w
42,416,17,1,w
42,417,9,16,w
42,418,8,6,w
42,419,10,18,l
42,420,2,5,w
43,421,19,4,w
43,422,11,12,l
43,423,14,15,w
43,424,3,20,l
43,425,13,17,l
43,426,7,9,w
43,427,1,8,l
43,428,16,18,w
43,429,2,6,l
43,430,10,5,l
44,431,19,4,w
44,432,12,11,w
44,433,14,15,w
44,434,20,3,l
44,435,17,7,w
44,436,13,8,w
44,437,9,16,w
44,438,1,6,l
44,439,18,2,w
44,440,10,5,l
45,441,19,12,l
45,442,4,14,l
45,443,11,3,l
45,444,15,17,l
45,445,20,13,l
45,446,7,9,l
45,447,8,16,l
45,448,1,6,w
45,449,18,2,l
45,450,10,5,w
46,451,19,12,l
46,452,14,4,l
46,453,11,3,w
46,454,17,13,w
46,455,15,20,w
46,456,7,9,l
46,457,16,1,l
46,458,8,6,w
46,459,18,2,l
46,460,10,5,w
47,461,12,19,w
47,462,4,14,w
47,463,11,17,w
47,464,3,15,w
47,465,13,20,l
47,466,9,7,w
47,467,1,8,w
47,468,16,2,l
47,469,6,10,l
47,470,18,5,w
48,471,12,19,w
48,472,4,11,l
48,473,14,3,w
48,474,17,15,w
48,475,20,9,w
48,476,13,1,l
48,477,7,8,w
48,478,16,2,l
48,479,10,18,l
48,480,6,5,l
49,481,12,19,w
49,482,4,11,w
49,483,14,17,w
49,484,3,20,l
49,485,15,9,l
49,486,13,1,l
49,487,7,8,w
49,488,16,2,l
49,489,18,10,l
49,490,6,5,w
50,491,12,4,w
50,492,14,19,w
50,493,11,17,w
50,494,20,3,w
50,495,9,15,w
50,496,1,7,l
50,497,13,2,w
50,498,8,16,w
50,499,10,18,w
50,500,6,5,w
51,501,12,14,l
51,502,4,11,w
51,503,19,20,w
51,504,17,3,l
51,505,9,7,w
51,506,13,15,l
51,507,1,8,w
51,508,2,10,l
51,509,16,6,w
51,510,18,5,w
52,511,12,14,w
52,512,4,19,w
52,513,11,20,l
52,514,3,9,w
52,515,17,15,l
52,516,1,7,l
52,517,13,8,w
52,518,10,16,w
52,519,2,18,w
52,520,6,5,w
53,521,12,4,l
53,522,14,19,w
53,523,11,20,w
53,524,3,9,l
53,525,15,17,l
53,526,7,13,l
53,527,1,10,l
53,528,2,8,w
53,529,16,6,w
53,530,18,5,w
54,531,12,4,w
54,532,14,11,l
54,533,19,20,w
54,534,3,9,w
54,535,17,13,l
54,536,15,7,l
54,537,1,10,w
54,538,2,16,l
54,539,8,18,l
54,540,6,5,w
55,541,12,4,l
55,542,14,11,l
55,543,19,3,w
55,544,20,9,w
55,545,13,17,w
55,546,7,15,l
55,547,1,10,l
55,548,16,2,w
55,549,18,6,l
55,550,8,5,w
56,551,12,4,l
56,552,11,14,l
56,553,19,20,w
56,554,3,13,l
56,555,9,15,l
56,556,17,7,l
56,557,1,10,w
56,558,16,2,l
56,559,6,8,l
56,560,18,5,w
57,561,12,4,w
57,562,14,19,w
57,563,11,13,w
57,564,20,3,l
57,565,15,7,l
57,566,9,17,l
57,567,1,10,w
57,568,16,2,l
57,569,8,18,w
57,570,6,5,l
58,571,12,4,l
58,572,14,11,w
58,573,19,3,l
58,574,13,20,l
58,575,7,15,w
58,576,17,1,l
58,577,9,2,w
58,578,8,10,w
58,579,16,18,w
58,580,6,5,l
59,581,12,4,w
59,582,14,11,l
59,583,19,3,l
59,584,20,7,w
59,585,13,1,l
59,586,9,15,w
59,587,17,8,w
59,588,16,2,l
59,589,10,18,w
59,590,6,5,w
60,591,12,4,l
60,592,14,11,w
60,593,19,3,w
60,594,20,1,l
60,595,7,9,w
60,596,13,17,l
60,597,15,2,w
60,598,8,10,w
60,599,16,6,w
60,600,18,5,l
61,601,12,4,w
61,602,14,11,l
61,603,19,3,w
61,604,20,1,l
61,605,7,17,l
61,606,9,13,l
61,607,15,8,w
61,608,16,2,l
61,609,10,6,w
61,610,18,5,w
62,611,12,4,l
62,612,14,11,w
62,613,19,1,w
62,614,3,17,w
62,615,20,7,l
62,616,13,15,l
62,617,9,2,l
62,618,8,10,w
62,619,16,18,l
62,620,6,5,w
63,621,12,4,w
63,622,14,19,w
63,623,11,3,w
63,624,1,7,w
63,625,15,17,l
63,626,20,13,l
63,627,9,2,w
63,628,8,10,w
63,629,16,18,w
63,630,6,5,l
64,631,12,14,l
64,632,4,11,l
64,633,19,1,w
64,634,3,17,w
64,635,7,13,w
64,636,15,20,w
64,637,9,8,w
64,638,2,16,w
64,639,10,18,l
64,640,6,5,w
65,641,12,14,l
65,642,4,11,l
65,643,19,3,l
65,644,1,7,w
65,645,15,17,l
65,646,9,13,l
65,647,20,2,l
65,648,8,16,w
65,649,10,18,w
65,650,6,5,w
66,651,14,12,w
66,652,11,4,w
66,653,19,3,l
66,654,1,17,w
66,655,7,13,l
66,656,15,9,w
66,657,20,2,w
66,658,8,10,w
66,659,16,6,w
66,660,18,5,w
67,661,14,11,l
67,662,12,4,w
67,663,19,3,l
67,664,1,13,w
67,665,15,17,l
67,666,7,20,l
67,667,9,8,l
67,668,2,16,w
67,669,10,18,w
67,670,6,5,w
68,671,14,11,w
68,672,12,4,l
68,673,19,3,l
68,674,1,17,w
68,675,13,15,l
68,676,20,7,l
68,677,8,9,l
68,678,2,10,l
68,679,16,6,w
68,680,18,5,w
69,681,14,11,l
69,682,12,4,w
69,683,3,19,w
69,684,1,15,w
69,685,17,7,w
69,686,13,20,w
69,687,9,8,l
69,688,2,10,w
69,689,16,18,w
69,690,6,5,l
70,691,14,11,l
70,692,12,3,w
70,693,4,1,l
70,694,19,17,l
70,695,13,15,l
70,696,7,20,l
70,697,8,9,l
70,698,2,16,l
70,699,10,18,w
70,700,6,5,w
71,701,11,12,l
71,702,14,1,l
71,703,3,4,l
71,704,19,17,w
71,705,15,13,w
71,706,20,7,w
71,707,9,8,l
71,708,2,16,l
71,709,10,6,w
71,710,18,5,w
72,711,12,11,l
72,712,14,1,l
72,713,4,3,l
72,714,19,15,w
72,715,17,20,w
72,716,13,7,w
72,717,8,9,w
72,718,16,2,w
72,719,10,18,w
72,720,6,5,w
73,721,11,12,w
73,722,14,1,l
73,723,3,4,l
73,724,19,17,w
73,725,15,13,l
73,726,20,8,l
73,727,7,9,l
73,728,16,10,w
73,729,2,6,w
73,730,18,5,l
74,731,11,12,w
74,732,14,1,w
74,733,4,19,l
74,734,3,17,w
74,735,13,15,l
74,736,8,20,l
74,737,9,16,w
74,738,7,2,w
74,739,10,6,w
74,740,18,5,w
75,741,11,12,l
75,742,14,1,l
75,743,19,3,w
75,744,4,15,l
75,745,17,13,w
75,746,20,8,l
75,747,9,7,l
75,748,16,10,l
75,749,2,18,w
75,750,6,5,w
76,751,11,12,w
76,752,14,1,l
76,753,19,3,w
76,754,4,15,w
76,755,17,8,l
76,756,13,20,l
76,757,7,9,l
76,758,10,16,w
76,759,2,6,w
76,760,18,5,w
77,761,11,12,l
77,762,1,14,l
77,763,19,4,l
77,764,3,15,w
77,765,17,8,w
77,766,20,9,l
77,767,13,7,w
77,768,10,2,l
77,769,16,18,w
77,770,6,5,l
78,771,11,12,l
78,772,14,1,w
78,773,19,4,w
78,774,3,17,w
78,775,15,8,w
78,776,9,13,w
78,777,20,2,l
78,778,7,10,l
78,779,16,18,w
78,780,6,5,w
79,781,11,12,l
79,782,14,19,w
79,783,1,3,l
79,784,4,15,w
79,785,17,9,w
79,786,8,13,l
79,787,20,2,l
79,788,10,16,w
79,789,7,6,w
79,790,18,5,w
80,791,12,11,l
80,792,14,19,w
80,793,1,3,l
80,794,4,17,l
80,795,15,9,w
80,796,13,2,l
80,797,8,10,w
80,798,20,7,l
80,799,16,18,w
80,800,6,5,l
81,801,11,12,w
81,802,14,3,w
81,803,19,1,w
81,804,4,17,l
81,805,15,2,w
81,806,8,9,w
81,807,13,7,l
81,808,10,16,w
81,809,20,18,w
81,810,6,5,w
82,811,11,14,l
82,812,12,19,w
82,813,3,1,w
82,814,4,17,l
82,815,15,8,w
82,816,2,7,w
82,817,9,10,l
82,818,13,20,w
82,819,16,6,l
82,820,18,5,w
83,821,14,11,l
83,822,12,3,w
83,823,19,1,l
83,824,4,17,l
83,825,15,2,l
83,826,8,10,w
83,827,13,7,w
83,828,9,20,w
83,829,16,6,w
83,830,18,5,l
84,831,11,12,l
84,832,14,3,w
84,833,19,1,w
84,834,17,4,l
84,835,15,2,w
84,836,8,13,l
84,837,9,10,w
84,838,7,16,w
84,839,20,6,w
84,840,18,5,l
85,841,12,14,w
85,842,11,19,l
85,843,3,1,l
85,844,4,17,l
85,845,15,13,l
85,846,2,8,l
85,847,9,7,w
85,848,10,20,l
85,849,16,6,l
85,850,18,5,l
86,851,12,14,l
86,852,11,19,w
86,853,1,3,w
86,854,17,4,l
86,855,15,13,l
86,856,8,9,l
86,857,2,20,l
86,858,7,10,w
86,859,16,6,w
86,860,18,5,w
87,861,12,14,l
87,862,11,19,w
87,863,1,3,l
87,864,4,17,l
87,865,13,15,w
87,866,9,8,l
87,867,20,2,w
87,868,7,10,w
87,869,16,6,w
87,870,18,5,w
88,871,14,11,l
88,872,12,19,l
88,873,1,3,w
88,874,17,4,w
88,875,13,15,l
88,876,8,9,l
88,877,20,7,w
88,878,2,16,l
88,879,10,18,w
88,880,6,5,w
89,881,11,14,w
89,882,12,19,w
89,883,1,17,w
89,884,3,4,l
89,885,13,15,l
89,886,9,20,l
89,887,8,7,w
89,888,16,2,w
89,889,10,6,w
89,890,18,5,w
90,891,11,12,l
90,892,14,1,w
90,893,19,17,w
90,894,3,4,l
90,895,15,13,w
90,896,20,8,w
90,897,9,16,w
90,898,7,10,w
90,899,2,18,l
90,900,6,5,w
91,901,11,12,l
91,902,14,19,w
91,903,1,4,l
91,904,17,3,l
91,905,15,20,w
91,906,9,13,l
91,907,8,7,l
91,908,16,10,l
91,909,2,18,w
91,910,6,5,w
92,911,12,14,l
92,912,11,19,l
92,913,1,4,w
92,914,3,15,l
92,915,17,13,l
92,916,20,9,w
92,917,7,8,l
92,918,10,16,l
92,919,2,6,l
92,920,18,5,w
93,921,14,12,l
93,922,11,19,l
93,923,1,4,l
93,924,15,3,l
93,925,17,13,l
93,926,20,8,w
93,927,9,7,w
93,928,16,10,l
93,929,2,6,l
93,930,18,5,w
94,931,12,14,w
94,932,11,19,l
94,933,1,4,w
94,934,3,15,w
94,935,13,17,l
94,936,20,9,l
94,937,8,7,l
94,938,10,16,l
94,939,2,6,l
94,940,18,5,w
95,941,12,14,l
95,942,11,19,w
95,943,1,3,l
95,944,4,15,l
95,945,17,13,w
95,946,20,9,w
95,947,7,8,l
95,948,16,10,w
95,949,2,6,l
95,950,18,5,l
96,951,12,14,l
96,952,11,19,l
96,953,1,3,l
96,954,4,15,l
96,955,17,20,w
96,956,13,9,l
96,957,8,16,w
96,958,7,10,w
96,959,2,6,w
96,960,18,5,w
97,961,14,12,l
97,962,11,19,l
97,963,3,1,l
97,964,15,17,l
97,965,4,20,w
97,966,9,13,w
97,967,8,7,w
97,968,16,10,l
97,969,2,6,w
97,970,18,5,l
98,971,12,14,w
98,972,11,19,w
98,973,1,3,l
98,974,17,4,l
98,975,15,9,w
98,976,20,8,w
98,977,13,7,w
98,978,16,10,l
98,979,2,6,w
98,980,18,5,w
99,981,12,14,w
99,982,11,19,l
99,983,3,1,w
99,984,4,15,w
99,985,17,20,l
99,986,9,13,l
99,987,8,7,l
99,988,10,16,w
99,989,2,18,l
99,990,6,5,w
100,991,12,14,l
100,992,11,19,w
100,993,3,4,l
100,994,1,15,w
100,995,17,20,l
100,996,13,9,w
100,997,8,7,w
100,998,10,16,w
100,999,2,18,l
100,1000,6,5,l
101,1001,12,14,w
101,1002,11,19,l
101,1003,3,4,l
101,1004,1,15,l
101,1005,17,20,w
101,1006,13,8,w
101,1007,9,10,w
101,1008,7,16,w
101,1009,2,18,l
101,1010,6,5,w
102,1011,12,14,l
102,1012,11,19,l
102,1013,4,3,l
102,1014,1,15,w
102,1015,17,13,l
102,1016,20,9,w
102,1017,8,7,w
102,1018,10,16,l
102,1019,18,2,w
102,1020,6,5,l
103,1021,12,14,w
103,1022,19,11,w
103,1023,3,4,l
103,1024,1,13,w
103,1025,15,17,w
103,1026,20,8,l
103,1027,9,7,w
103,1028,10,16,l
103,1029,18,2,w
103,1030,6,5,w
104,1031,12,14,w
104,1032,19,11,w
104,1033,4,1,l
104,1034,3,15,w
104,1035,13,17,w
104,1036,20,8,l
104,1037,9,7,w
104,1038,10,16,w
104,1039,18,2,w
104,1040,6,5,w
105,1041,12,14,l
105,1042,19,11,l
105,1043,1,3,l
105,1044,4,13,w
105,1045,15,17,l
105,1046,20,8,w
105,1047,9,10,w
105,1048,18,7,l
105,1049,16,6,l
105,1050,2,5,w
106,1051,12,14,l
106,1052,19,11,l
106,1053,3,4,l
106,1054,1,13,w
106,1055,15,17,l
106,1056,20,9,w
106,1057,8,7,l
106,1058,10,18,w
106,1059,16,6,l
106,1060,2,5,w
107,1061,12,14,l
107,1062,19,11,w
107,1063,4,1,w
107,1064,3,17,l
107,1065,20,13,w
107,1066,15,9,w
107,1067,8,7,l
107,1068,10,18,l
107,1069,6,16,w
107,1070,2,5,l
108,1071,12,14,l
108,1072,19,4,w
108,1073,11,1,w
108,1074,3,17,w
108,1075,20,15,l
108,1076,13,9,l
108,1077,8,7,l
108,1078,10,18,l
108,1079,6,16,l
108,1080,2,5,w
109,1081,14,12,w
109,1082,19,11,w
109,1083,4,3,w
109,1084,1,15,w
109,1085,17,20,w
109,1086,9,13,w
109,1087,7,8,w
109,1088,18,10,l
109,1089,6,16,w
109,1090,2,5,w
110,1091,14,12,l
110,1092,19,4,w
110,1093,11,1,l
110,1094,3,17,w
110,1095,15,20,w
110,1096,9,13,l
110,1097,7,8,l
110,1098,10,18,l
110,1099,6,2,l
110,1100,16,5,w
111,1101,14,12,w
111,1102,19,4,w
111,1103,11,1,w
111,1104,3,15,l
111,1105,17,20,l
111,1106,9,13,l
111,1107,7,8,l
111,1108,18,10,l
111,1109,2,6,l
111,1110,16,5,w
112,1111,14,19,l
112,1112,12,11,w
112,1113,4,1,l
112,1114,3,15,w
112,1115,17,20,w
112,1116,13,9,l
112,1117,8,7,w
112,1118,10,18,l
112,1119,6,16,l
112,1120,2,5,l
113,1121,14,19,l
113,1122,12,11,l
113,1123,1,3,l
113,1124,4,15,w
113,1125,17,20,l
113,1126,9,13,w
113,1127,8,7,l
113,1128,18,10,l
113,1129,16,6,w
113,1130,2,5,w
114,1131,19,14,l
114,1132,12,11,w
114,1133,3,4,w
114,1134,1,15,w
114,1135,17,20,l
114,1136,9,13,l
114,1137,8,7,l
114,1138,10,16,w
114,1139,18,2,l
114,1140,6,5,w
115,1141,14,19,l
115,1142,12,3,w
115,1143,11,1,w
115,1144,4,20,w
115,1145,15,17,w
115,1146,9,13,l
115,1147,7,8,l
115,1148,10,16,l
115,1149,18,2,w
115,1150,6,5,w
116,1151,19,12,w
116,1152,14,11,l
116,1153,3,4,l
116,1154,1,15,w
116,1155,20,13,l
116,1156,17,9,w
116,1157,8,7,l
116,1158,10,16,w
116,1159,18,6,l
116,1160,2,5,w
117,1161,19,12,w
117,1162,14,11,w
117,1163,4,1,l
117,1164,3,13,w
117,1165,15,17,l
117,1166,20,9,w
117,1167,7,8,w
117,1168,10,6,w
117,1169,16,18,w
117,1170,2,5,w
118,1171,19,14,w
118,1172,12,11,w
118,1173,1,3,w
118,1174,4,17,w
118,1175,20,13,w
118,1176,15,7,l
118,1177,9,8,w
118,1178,10,16,w
118,1179,2,6,l
118,1180,18,5,w
119,1181,19,12,l
119,1182,14,1,l
119,1183,4,11,w
119,1184,3,20,l
119,1185,17,13,w
119,1186,15,7,w
119,1187,9,10,l
119,1188,8,6,l
119,1189,16,18,l
119,1190,2,5,w
120,1191,19,12,l
120,1192,14,1,w
120,1193,4,11,w
120,1194,3,20,w
120,1195,17,15,w
120,1196,13,7,l
120,1197,9,10,w
120,1198,6,8,l
120,1199,18,2,l
120,1200,16,5,w
121,1201,19,12,l
121,1202,14,4,w
121,1203,1,3,l
121,1204,11,17,w
121,1205,20,15,l
121,1206,7,9,w
121,1207,13,10,w
121,1208,8,2,w
121,1209,6,16,w
121,1210,18,5,w
122,1211,12,19,w
122,1212,14,4,w
122,1213,1,3,l
122,1214,11,17,w
122,1215,20,15,l
122,1216,7,13,l
122,1217,9,8,l
122,1218,10,6,w
122,1219,18,2,w
122,1220,16,5,w
123,1221,12,14,l
123,1222,19,3,l
123,1223,4,11,l
123,1224,1,15,w
123,1225,17,20,l
123,1226,13,7,l
123,1227,8,9,l
123,1228,10,18,l
123,1229,6,16,l
123,1230,2,5,l
124,1231,12,14,l
124,1232,19,3,l
124,1233,11,1,w
124,1234,4,20,l
124,1235,15,17,l
124,1236,7,13,w
124,1237,9,8,w
124,1238,10,18,w
124,1239,16,6,w
124,1240,2,5,w
125,1241,14,12,w
125,1242,19,3,w
125,1243,11,1,w
125,1244,4,20,w
125,1245,17,7,w
125,1246,15,9,l
125,1247,13,10,w
125,1248,8,16,l
125,1249,18,2,l
125,1250,6,5,w
126,1251,14,12,w
126,1252,19,11,w
126,1253,3,4,l
126,1254,1,17,l
126,1255,20,7,l
126,1256,9,13,w
126,1257,15,10,l
126,1258,16,8,l
126,1259,18,2,w
126,1260,6,5,w
127,1261,14,19,w
127,1262,12,11,w
127,1263,3,4,w
127,1264,1,17,l
127,1265,20,7,w
127,1266,9,13,l
127,1267,15,10,w
127,1268,8,16,w
127,1269,18,6,w
127,1270,2,5,w
128,1271,14,12,w
128,1272,19,3,w
128,1273,11,4,w
128,1274,1,17,w
128,1275,20,7,w
128,1276,9,13,w
128,1277,15,8,w
128,1278,10,18,l
128,1279,16,2,l
128,1280,6,5,w
129,1281,14,19,w
129,1282,12,11,w
129,1283,3,4,l
129,1284,1,17,w
129,1285,20,9,l
129,1286,15,7,l
129,1287,13,18,l
129,1288,8,10,l
129,1289,2,6,w
129,1290,16,5,w
130,1291,14,12,w
130,1292,19,11,w
130,1293,3,4,l
130,1294,1,17,l
130,1295,20,9,w
130,1296,7,15,l
130,1297,13,18,l
130,1298,10,2,w
130,1299,8,16,w
130,1300,6,5,l
131,1301,14,19,l
131,1302,12,4,l
131,1303,11,3,l
131,1304,1,17,l
131,1305,20,9,l
131,1306,15,7,w
131,1307,18,10,l
131,1308,13,8,w
131,1309,2,16,w
131,1310,6,5,w
132,1311,14,19,w
132,1312,12,4,w
132,1313,3,11,l
132,1314,1,17,l
132,1315,20,9,w
132,1316,15,7,w
132,1317,10,13,w
132,1318,18,2,l
132,1319,8,6,w
132,1320,16,5,l
133,1321,14,19,l
133,1322,12,4,l
133,1323,11,3,w
133,1324,17,1,w
133,1325,20,15,l
133,1326,9,10,w
133,1327,7,13,w
133,1328,18,2,w
133,1329,8,6,l
133,1330,16,5,l
134,1331,14,19,l
134,1332,12,4,w
134,1333,11,3,w
134,1334,17,1,w
134,1335,15,20,l
134,1336,9,7,w
134,1337,10,18,w
134,1338,13,2,w
134,1339,8,6,l
134,1340,16,5,w
135,1341,14,19,w
135,1342,12,11,w
135,1343,4,17,l
135,1344,3,20,w
135,1345,1,9,l
135,1346,15,10,w
135,1347,7,13,l
135,1348,18,2,l
135,1349,6,8,l
135,1350,16,5,w
136,1351,14,19,w
136,1352,12,11,l
136,1353,4,17,l
136,1354,3,9,l
136,1355,15,20,l
136,1356,1,10,w
136,1357,13,7,w
136,1358,18,2,l
136,1359,8,6,l
136,1360,16,5,w
